date,symbol,name,score,shares,buy_price,sell_price,hit_limit,pnl,return_pct,cash_after
2025-07-04,600037.SH,Sample038,0.04841074731602521,3200,30.644495999999997,17.2362,False,-42972.429676799984,-0.43810568436260106,957027.5703232
2025-07-04,000000.SZ,Sample001,0.04484870881606228,3700,26.82144,26.77856,False,-257.7763360000109,-0.002596872764223123,956769.7939871999
2025-07-04,000074.SZ,Sample075,0.043736522767888725,10000,9.907919999999999,33.982791999999996,False,240469.07926,2.426432359322099,1197238.8732472
2025-07-04,000078.SZ,Sample079,0.005202142150380967,3200,30.484368,6.734608,False,-76039.7825536,-0.7793008182019325,1121199.0906936
2025-07-07,600037.SH,Sample038,0.05305618072988181,3200,30.964751999999997,17.555944,False,-42975.091667199995,-0.433601391547104,1078223.9990264
2025-07-07,000074.SZ,Sample075,0.05000072827466182,10300,9.707759999999999,34.152656,False,251493.6020504,2.5145607101978205,1329717.6010768
2025-07-07,000000.SZ,Sample001,0.0499757775007039,3700,26.561231999999997,26.518767999999998,False,-255.27552079999785,-0.002596872764222991,1329462.325556
2025-07-07,000078.SZ,Sample079,0.005528947716871072,3100,31.435128,6.584728,False,-77075.9117168,-0.7907390446200645,1252386.4138392
2025-07-07,000054.SZ,Sample055,0.005442853764359654,8100,12.239784,13.049552,False,6455.059209000008,0.06509279163526152,1258841.4730482001
2025-07-08,000000.SZ,Sample001,0.04598242552143041,3700,26.581247999999995,26.538752,False,-255.46789119997422,-0.002596872764222751,1258586.0051570002
2025-07-08,600037.SH,Sample038,0.04334688627650139,3200,30.32424,17.945632,False,-39678.8745088,-0.4087999945493546,1218907.1306482002
2025-07-08,000074.SZ,Sample075,0.03963250124146112,10500,9.487584,33.263368,False,249358.878069,2.5024841883627653,1468266.0087172003
2025-07-08,600007.SH,Sample008,0.005486473522509811,5600,17.804232,57.883655999999995,False,224176.73712,2.247867518874006,1692442.7458372002
2025-07-08,000012.SZ,Sample013,0.005201561267924,4000,24.429527999999998,22.122288,False,-9319.756391999988,-0.0953500517410854,1683122.9894452002
2025-07-09,000000.SZ,Sample001,0.04679336465516954,3700,26.911512,26.868488,False,-258.64200279999193,-0.0025968727642229324,1682864.3474424002
2025-07-09,600037.SH,Sample038,0.04510195878375264,3300,30.174119999999995,17.416056,False,-42169.60958759998,-0.42339182395623226,1640694.7378548002
2025-07-09,000074.SZ,Sample075,0.04493566274623746,10400,9.527615999999998,32.424040000000005,False,237845.1302864001,2.399761709958086,1878539.8681412002
2025-07-09,600001.SH,Sample002,0.005061551356380055,4600,21.31704,109.71216,False,406214.53045200004,4.141542881243584,2284754.3985932004
2025-07-10,000074.SZ,Sample075,0.04711625295721408,10300,9.677736,32.933632,False,239256.39632260002,2.3996284460900945,2524010.7949158004
2025-07-10,000000.SZ,Sample001,0.04485483249713531,3600,27.041615999999998,26.998383999999998,False,-252.86829120001147,-0.002596872764223131,2523757.9266246003
2025-07-10,600037.SH,Sample038,0.04442392320247738,3300,29.87388,17.43604,False,-41112.672150000006,-0.41692849010839844,2482645.2544746003
